Price,Close,High,Low,Open,Volume
Ticker,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK,JSMR.JK
Date,,,,,
2025-10-13,3840.0,3850.0,3710.0,3750.0,6301700
2025-10-14,3780.0,3900.0,3770.0,3850.0,9247200
2025-10-15,3840.0,3950.0,3830.0,3870.0,24943000
2025-10-16,3780.0,3890.0,3780.0,3890.0,5388500
2025-10-17,3760.0,3810.0,3750.0,3800.0,5272200
2025-10-20,3810.0,3860.0,3790.0,3790.0,4179900
2025-10-21,3960.0,3990.0,3820.0,3900.0,9037800
2025-10-22,4070.0,4180.0,3970.0,3980.0,20564900
2025-10-23,4020.0,4130.0,4010.0,4120.0,6955200
2025-10-24,3840.0,4030.0,3830.0,4020.0,9269300
2025-10-27,3860.0,3900.0,3780.0,3860.0,8189800
2025-10-28,3840.0,3890.0,3800.0,3890.0,2900200
2025-10-29,3790.0,3840.0,3780.0,3840.0,4340700
2025-10-30,3620.0,3830.0,3590.0,3790.0,18699400
2025-10-31,3570.0,3620.0,3550.0,3600.0,12833600
2025-11-03,3580.0,3600.0,3560.0,3600.0,4735300
2025-11-04,3500.0,3600.0,3500.0,3580.0,9140500
2025-11-05,3540.0,3540.0,3500.0,3520.0,6052400
2025-11-06,3580.0,3600.0,3510.0,3550.0,8922800
2025-11-07,3580.0,3610.0,3530.0,3580.0,8017100
2025-11-10,3560.0,3620.0,3540.0,3620.0,5257100
2025-11-11,3550.0,3580.0,3530.0,3580.0,2230500
2025-11-12,3550.0,3590.0,3520.0,3550.0,6780500
